fighter_id,name,weightclass,wins,losses,draws,currentElo,maxElo
1493,Vernon Ramos Ho,Welterweight,0,1,0,1450.0,1500.0
1494,Marco Polo Reyes,Lightweight,4,4,0,1459.0741079037134,1611.7795748377866
1495,Cesar Arzamendia,Lightweight,0,2,0,1402.7191367146515,1500.0
1496,Dong Hyun Ma,Welterweight,3,5,0,1423.0157055804336,1529.5421921197374
1497,Danny Roberts,Welterweight,7,7,0,1493.0704392145376,1595.2417461718412
1498,Nathan Coy,Welterweight,1,2,0,1459.5207538093082,1500.0
1499,Ryan Hall,Lightweight,5,1,0,1665.7619603901817,1699.5449605280317
1500,Artem Lobov,Lightweight,2,5,0,1443.279620190655,1515.7925279408337
1501,Jason Knight,Featherweight,4,5,0,1498.3765821763263,1646.9549271504952
1502,Julian Erosa,Lightweight,8,7,0,1570.312369711647,1570.312369711647
1503,Marcin Wrzosek,Lightweight,0,1,0,1460.0,1500.0
1504,Chris Gruetzemacher,Lightweight,3,4,0,1475.8306053448532,1540.0
1505,Abner Lloveras,Lightweight,0,1,0,1460.0,1500.0
1506,Jocelyn Jones-Lybarger,Women's Strawweight,0,3,0,1383.084988469581,1500.0
1507,Karolina Kowalkiewicz,Women's Strawweight,9,9,0,1520.8347295914916,1620.623714308654
1508,Valentina Shevchenko,Women's Bantamweight,13,3,1,1866.2533196209847,1899.0508263937809
1509,Francis Ngannou,Heavyweight,12,2,0,1967.795249662333,1967.795249662333
1510,Luis Henrique,Heavyweight,2,4,0,1430.0868125961977,1547.815494224318
1511,Alex Morono,Welterweight,14,9,0,1582.7284576795942,1696.7242006437452
1512,Justine Kish,Women's Strawweight,3,4,0,1452.62368373248,1569.991084436484
1513,Mehdi Baghdad,Lightweight,0,2,0,1435.032518766831,1500.0
1514,Luke Sanders,Featherweight,3,5,0,1452.7132189157262,1555.7108743462832
1515,Kyle Bochniak,Featherweight,2,5,0,1425.0463229374545,1517.697308608117
1516,Joey Gomez,Bantamweight,0,2,0,1422.3248451612194,1500.0
1517,Elvis Mutapcic,Light Heavyweight,0,2,1,1416.3194600677778,1500.0
1518,Randy Brown,Welterweight,13,6,0,1720.5727763437276,1745.165369332237
1519,Felipe Olivieri,Lightweight,0,1,0,1444.836175400534,1500.0
1520,Alex Nicholson,Light Heavyweight,1,3,0,1438.6782598634252,1511.440059485204
1521,Damian Grabowski,Heavyweight,0,3,0,1377.9174864501824,1500.0
1522,Mickey Gall,Welterweight,6,7,0,1449.417625675119,1633.0516891237185
1523,Mike Jackson,Welterweight,1,3,0,1412.7167004766716,1500.0
1524,Augusto Mendes,Catch Weight,1,2,0,1480.3475281057517,1507.934097767991
1525,Leonardo Guimaraes,Middleweight,0,2,0,1417.5722152497813,1500.0
1526,Kelly Faszholz,Women's Bantamweight,0,2,0,1408.3572533774318,1500.0
1527,Jarjis Danho,Heavyweight,1,1,1,1514.319168567178,1514.319168567178
1528,Thibault Gouti,Lightweight,1,5,0,1385.1290021426614,1500.0
1529,David Teymur,Lightweight,5,1,0,1650.2767520540197,1694.7583542403456
1530,Martin Svensson,Lightweight,0,1,0,1450.0,1500.0
1531,Damien Brown,Lightweight,2,4,0,1430.612537626762,1550.5729305795128
1532,Curtis Blaydes,Heavyweight,13,6,0,1779.9188275270722,1821.7430163368795
1533,Marcin Tybura,Heavyweight,14,8,0,1703.244629768933,1703.244629768933
1534,Cristina Stanciu,Women's Strawweight,0,2,0,1408.0903619144672,1500.0
1535,Damir Hadzovic,Lightweight,4,6,0,1466.3588052448335,1583.8955714544925
1536,Filip Pejic,Bantamweight,0,1,0,1446.4975735468092,1500.0
1537,Cyril Asker,Heavyweight,2,3,0,1452.381574479283,1500.0
1538,Bojan Velickovic,Middleweight,2,3,1,1484.5690443299814,1549.6510163406379
1539,Alessio Di Chirico,Middleweight,4,7,0,1421.5850512706431,1540.1822085827316
1540,Darrell Horcher,Catch Weight,1,3,0,1431.320340669677,1510.2553397756851
1541,Cody East,Heavyweight,0,2,0,1389.5326424153443,1500.0
1542,Anna Elmose,Women's Bantamweight,0,2,0,1414.8446340956193,1500.0
1543,Josh Emmett,Lightweight,10,4,0,1745.2131174225087,1771.974895448453
1544,Cristiane Justino,Catch Weight,6,1,0,1715.1892778164488,1729.2367517972782
1545,Luan Chagas,Welterweight,1,2,1,1477.435059772006,1517.312155426677
1546,Jordan Rinaldi,Lightweight,2,3,0,1504.3355214752462,1528.3975830080537
1547,Alberto Uda,Middleweight,0,2,0,1402.796789376588,1500.0
1548,Adam Milstead,Heavyweight,2,2,0,1485.172590797716,1578.2343205813572
1549,Henrique da Silva,Light Heavyweight,2,4,0,1409.73742486398,1596.4919404407383
1550,Ion Cutelaba,Light Heavyweight,8,9,1,1534.669820235057,1592.346426470149
1551,Jonathan Meunier,Welterweight,1,1,0,1501.3207202586211,1501.3207202586211
