fighter_id,strikingVolume,strikingSuccess,strikingDefense,knockdownsPerMin,grappingSuccess,grapplingDefense,finishingAbility,controlDominance,weightclass
229,-0.2046928534913993,-0.884789724971176,-0.3995076515645656,0.0904215344111647,-0.2107625510773915,-0.8711322042065993,-0.1821577694579808,-0.2930413986100562,Heavyweight
268,0.3779552232909089,0.0111346084888025,0.0605707003900092,0.4761599643788127,0.1029344326006108,-0.532620216794352,0.0386881607581154,-0.0578226591891002,Welterweight
408,-0.3822378485513481,-0.0253779596708439,-0.254113891829018,-0.3727485985913223,1.2157042748023892,-0.8810627677038568,-0.0009500051995294,-0.133366349763457,Middleweight
457,-0.4505268759862446,-1.0551148569137911,-1.0230784503957564,-0.126636292219198,0.6334257554607751,-0.9442370103969948,-0.3553902032390763,0.1505619646722969,Lightweight
581,-0.2469177190375039,1.1613498184011233,-0.8667943812889057,1.393831627055871,0.328574948723919,-0.1473415878895501,0.7831399484353031,-0.3540647970662094,Welterweight
596,0.1316471445097415,1.1471128030285007,-0.8173110690545908,-0.2672368810694271,-0.0377725679571432,-0.8919207071906103,0.6299494916114116,0.2779099387998043,Light Heavyweight
607,-0.3150451310483617,-0.2978543993865832,-0.7082181829228152,-0.1200014929321457,1.3120207530136,0.2417330910817163,0.7311570114879365,-0.0372769182478306,Lightweight
612,-0.2836938865361481,-0.330191702723013,-0.6091213509997295,-0.1424643222572156,0.3241987034594317,-0.2482361156664374,-0.0718517870248752,-0.141049170390202,Lightweight
723,-0.2416627107855347,-0.3542102779985691,-0.7258915329849494,-0.1356183220587271,0.4885523102143922,-0.6674887518137078,-0.1120468881740147,-0.0641455246275437,Lightweight
735,0.3148787933220295,-1.2077883066507589,-0.2077687424334139,-0.32390365333154,-0.334763975072249,-0.9724794319203144,-0.7857968033667415,-0.1099557858735964,Middleweight
740,-0.2409971686590695,-0.6374942411710998,-0.6051087009700321,-0.287592871862219,-0.4141319244066269,-1.3842662076701242,-0.969292767961494,-0.1389997287982715,Middleweight
750,-0.5314060474770453,0.7352220625722156,-0.6904242289312991,-0.069702173765831,0.8777330504416719,-0.1243687125638371,1.5052148286501916,-0.1089629750037825,Lightweight
773,0.4333463585899574,0.0513600303437225,-0.1722778457917634,-0.0253509216916981,-0.3225134877823313,-0.2641619246367714,0.1612797996401346,-0.0733698218950044,Lightweight
777,0.0582053973494976,-0.4946764910476355,-0.1720630385372688,-0.1156266879007888,-0.578412071328525,-0.7744560274484638,-0.304983373689885,-0.1664516217464869,Lightweight
791,0.594877804292325,-0.6699887022399335,0.2244855063995257,-0.0622844674431539,-1.2802561086088242,-1.6366770977164948,-0.5381149603548949,-0.0380317889624267,Lightweight
792,1.097786939573064,0.2814511321305803,0.1708637810152841,1.1193259769067407,-0.0301320382101348,-0.2793332759172768,0.8432059233140337,-0.2910845806075594,Featherweight
796,-1.2951681616858064,0.1240106459455759,-1.2916138245654216,0.2122655638481403,1.3942485050230395,-0.0739872633467755,0.23051346407502,0.0750108130139769,Featherweight
812,-0.0656558402780319,0.0841127485634192,-0.9832512682478484,-0.1905843920394676,-0.3180668620951689,-0.0478051272021214,0.0130433873259326,-0.1698405304954799,Middleweight
827,-0.3386652566579173,-0.7643445249700044,0.5263260471029096,-0.5230461770316374,-0.0032048863472173,0.1664837250581544,0.908851543946785,-0.1487261340676884,Featherweight
829,0.1214510137291293,0.0456983415169576,-0.3784849610229766,-0.0336965080978579,-0.3001004322820624,-0.5077780659595896,-0.3121569998223918,-0.3164426073840882,Featherweight
832,0.2373230622938083,-0.1099273147362231,-0.2602016021259252,-0.0424998609958617,-0.1761949674083888,-1.6488364815280787,-0.3861575176265845,-0.0376351272605673,Featherweight
838,0.5922940228064935,0.1157817257294226,-0.1233239376303576,-0.496036640589209,-0.0238912888387031,-0.1593000103442699,0.6108131457322503,-0.0601973949559682,Welterweight
881,0.3248150497588782,0.1491858757618212,-0.0807292634877277,0.1543619787618524,-0.0569377070531555,-0.6093591344753241,0.6415090129258463,0.0041902824160274,Heavyweight
886,0.7677124852549038,-0.7753804207088015,0.3312166634372102,0.0767318149117287,-0.876467887569364,-0.2123121882565805,-0.047594646951069,-0.1537652875548652,Middleweight
893,1.1474633557625131,0.4702489618118425,0.2933278624889445,1.0670826085777063,-0.6267788435343971,-0.7384465734130282,0.0134452785160553,-0.3727427173609712,Featherweight
924,-1.044029946292584,0.0294421326138717,-0.2060274963164801,-0.4603328803096146,-0.0023167149810419,0.1019671184129293,0.3274189040567006,-0.3135218773859533,Featherweight
929,2.005642192858224,0.0350574676870333,0.494510870035467,-0.2390471840619581,-1.1803550591145866,-1.0543689853053344,0.6375163119980789,-0.4606063720493288,Featherweight
932,-0.5303865900384795,-0.4806531543107926,-0.5915971908763584,-0.0826977498423209,-0.9647083031936812,-0.3411939097871189,-0.1031121797518251,-0.4229156853631178,Welterweight
936,0.3286647625850419,-0.1011017533724044,-0.0841807671318839,-0.0447991840600245,-0.4216522365384476,0.4149471453766332,0.0058587418634611,-0.1487644514075363,Lightweight
956,-0.4890189484585215,-0.3847198024319865,-0.4525344997147394,-0.3615772941134829,0.4686230282674529,0.1352570659875004,-0.5394965309375164,-0.2814670665861467,Flyweight
962,-1.2312699473957447,-0.3173111433217736,-1.712157007867228,-0.1751944171028845,0.2961043491273585,0.3649075296914352,0.6275429729701545,-0.1408129242601956,Lightweight
1009,-0.6024672478695119,1.236689971323051,-2.2315353152136232,0.7664182803701826,1.475798823779933,-0.3740078575720637,0.548263518187645,-0.24675142516798,Catch Weight
