id,fighter_id,name,weightclass,wins,losses,draws,currentElo,maxElo
340,2069,Joaquin Buckley,Middleweight,11,4,0,1780.2188418720923,1780.2188418720923
341,2070,Alexander Munoz,Lightweight,1,2,0,1475.173473016761,1500.0
342,2074,Chris Daukaus,Heavyweight,4,4,0,1537.176230087145,1689.7830136295688
343,2075,Parker Porter,Heavyweight,4,4,0,1465.337312787215,1559.2917521551624
344,2079,Matthew Semelsberger,Welterweight,5,6,0,1473.1185251577333,1626.7995557781437
345,2083,Bill Algeo,Featherweight,5,5,0,1513.1561465619038,1611.152190722854
346,2088,Alexandr Romanov,Heavyweight,7,3,0,1632.5899401906238,1686.579916375154
347,2093,Ludovit Klein,Featherweight,7,2,1,1662.8645469877015,1662.8645469877015
348,2097,Dusko Todorovic,Middleweight,3,5,0,1414.9005667368206,1536.4833210572017
349,2098,Nassourdine Imavov,Middleweight,9,2,0,1822.6396331175984,1822.6396331175984
350,2100,Dricus Du Plessis,Middleweight,9,0,0,1950.9292869019328,1950.9292869019328
351,2102,Ilia Topuria,Featherweight,8,0,0,1928.9457824276155,1928.9457824276155
352,2104,Stephanie Egger,Women's Bantamweight,3,4,0,1480.749454049646,1564.492329903583
353,2105,Tagir Ulanbekov,Flyweight,5,1,0,1648.616999564684,1648.616999564684
354,2106,Guram Kutateladze,Lightweight,2,3,0,1471.8817371411983,1540.0
355,2107,Mateusz Gamrot,Lightweight,7,3,0,1732.5702986033132,1770.0018865127065
356,2109,Phil Hawes,Middleweight,4,4,0,1461.9717906600808,1618.018830550975
357,2110,Jacob Malkoun,Middleweight,4,3,0,1559.340681939482,1559.340681939482
358,2112,Shavkat Rakhmonov,Welterweight,7,0,0,1845.221390418753,1845.221390418753
359,2113,Miranda Maverick,Women's Flyweight,8,3,0,1653.284322961983,1653.284322961983
360,2115,Adrian Yanez,Bantamweight,6,3,0,1609.1501839469438,1697.3461782751522
361,2119,Ramiz Brahimaj,Welterweight,3,3,0,1519.9289395051478,1519.9289395051478
362,2120,Cory McKenna,Women's Strawweight,3,3,0,1481.7063463015888,1573.0005604294654
363,2121,Kanako Murata,Women's Strawweight,1,2,0,1454.042990350629,1535.9446665678322
364,2122,Jared Gooden,Welterweight,2,5,0,1446.7326927826484,1500.0
365,2123,Dustin Stoltzfus,Middleweight,3,5,0,1467.9589410036003,1500.0
366,2126,Josh Parisian,Heavyweight,2,5,0,1386.5227628452008,1500.0
367,2127,Jordan Leavitt,Lightweight,4,3,0,1536.2986371042723,1587.9452118684285
368,2128,Sam Hughes,Women's Strawweight,5,5,0,1543.9489992736328,1543.9489992736328
369,2129,Tafon Nchukwi,Middleweight,2,4,0,1399.8566446089128,1540.0
370,2130,Jamie Pickett,Middleweight,2,7,0,1334.055854708459,1500.558344905422
371,2131,Jimmy Flick,Flyweight,2,3,0,1459.781773170897,1549.0776021819645
372,2132,Joselyne Edwards,Women's Bantamweight,5,4,0,1522.3822558031975,1557.8970735890553
373,2136,Umar Nurmagomedov,Bantamweight,6,1,0,1727.934368528654,1752.2767212048425
374,2138,Manon Fiorot,Women's Flyweight,7,0,0,1774.4488849144232,1774.4488849144232
375,2139,Victoria Leonardo,Women's Flyweight,1,4,0,1379.186881910952,1500.0
376,2140,Michael Chandler,Lightweight,2,4,0,1570.6988611663598,1603.4996558541116
377,2141,Manel Kape,Flyweight,6,3,0,1669.8382619782633,1669.8382619782633
378,2142,Phil Rowe,Welterweight,3,3,0,1553.9185586542503,1606.6070618855638
379,2143,Casey O'Neill,Women's Flyweight,5,2,0,1592.7559108938715,1648.621045648529
380,2146,Ronnie Lawrence,Bantamweight,2,2,0,1500.3294661916816,1582.3640127922724
381,2147,Carlos Ulberg,Light Heavyweight,8,1,0,1775.4648867737214,1775.4648867737214
382,2148,Uros Medic,Lightweight,4,3,0,1542.1496689481166,1602.251664155366
383,2150,Rafa Garcia,Lightweight,4,4,0,1540.129997418578,1567.3719843344156
384,2152,Montserrat Conejo Ruiz,Women's Strawweight,1,3,0,1403.5357425339128,1540.0
385,2156,JP Buys,Flyweight,0,4,0,1341.41678029047,1500.0
386,2158,Ignacio Bahamondes,Lightweight,6,2,0,1686.911428418429,1686.911428418429
387,2160,Loopy Godinez,Women's Strawweight,7,5,0,1574.4818060304797,1636.6062295469649
388,2162,Pat Sabatini,Featherweight,6,2,0,1617.0026570424411,1640.4756261006137
389,2163,Rongzhu,Lightweight,2,3,0,1468.1206510191782,1505.4672134127895
390,2165,Aoriqileng,Flyweight,3,5,0,1452.7644410663831,1508.3751879181268
391,2166,Liang Na,Women's Strawweight,0,4,0,1321.4660834108397,1500.0
392,2167,Luana Pinheiro,Women's Strawweight,3,3,0,1479.8283384611082,1595.6639305961958
393,2168,Carlston Harris,Welterweight,4,3,0,1551.4863651403507,1632.9316971998492
394,2169,Tucker Lutz,Featherweight,1,3,0,1424.8932310375817,1536.9742892776972
395,2170,Chris Barnett,Heavyweight,2,3,0,1477.7244569304944,1520.9129735651595
