fighter_id,name,z_score_composite,scaled_z_score_composite
229,Andrei Arlovski,-0.37054994770366745,1713.761287285642
268,Robbie Lawler,0.041106385675079765,1843.0536411612266
408,Ed Herman,-0.027762448618116692,1821.42342932566
457,Clay Guida,-0.34510535946634646,1721.7528823124858
581,Matt Brown,0.11110306005857379,1865.038083184078
596,Jon Jones,-0.08741557116369546,1802.6876732967335
607,Jim Miller,0.18322343456940693,1887.6895335003182
612,Rafael Dos Anjos,-0.1630572599034858,1778.930254315659
723,Darren Elkins,-0.20190237357920338,1766.7298439819322
735,Court McGee,-0.40121035809191086,1704.1315152927014
740,Brad Tavares,-0.5975929796296846,1642.4519798645026
750,Charles Oliveira,0.1631559387676269,1881.3867669491392
773,Edson Barboza,-0.05422502840883802,1813.112105161931
777,Michael Johnson,-0.3418457025259093,1722.776670080299
791,John Makdessi,-0.4911834524334252,1675.872911672041
792,Dustin Poirier,0.3026416265070802,1925.196205642254
796,Rani Yahya,-0.06449254299166417,1809.8873008258245
812,Chris Weidman,-0.2517852953558924,1751.0626967725975
827,Chan Sung Jung,0.031938938393815085,1840.1743441799397
829,Alex Caceres,-0.23670171165864354,1755.800124289114
832,Jose Aldo,-0.33980754935432866,1723.416809924498
838,Tony Ferguson,0.0682147099201835,1851.5677796964092
881,Stipe Miocic,0.021157474982205757,1836.7881196288213
886,Dustin Jacoby,-0.11483567233391669,1794.0756123703131
893,Cub Swanson,0.05936605191360957,1848.7886075337467
924,Daniel Pineda,-0.20360399503573456,1766.195401473264
929,Max Holloway,-0.016811634917908207,1824.8628431408974
932,Stephen Thompson,-0.5072724185670077,1670.8197152696878
936,Tim Means,-0.010648917445060517,1826.7984194547485
956,Tim Elliott,-0.16528849366764997,1778.229472031933
962,Michael Chiesa,-0.31582195617111236,1730.95016614984
1009,Gunnar Nelson,-0.005657470163334153,1828.36612512565
1017,Robert Whittaker,-0.4006655801101599,1704.3026182781018
1030,Vinc Pichel,-0.0550987933949618,1812.8376744714985
1039,King Green,-0.05049807929285911,1814.2826592987383
1045,Neil Magny,-0.19552064684588927,1768.7342063692874
1051,Kyung Ho Kang,0.057065554025578405,1848.0660708862765
1057,Ilir Latifi,-0.5393451480006447,1660.7463644003974
1065,Kelvin Gastelum,-0.39733290932983956,1705.3493381143871
1068,Miesha Tate,-0.3705100281319826,1713.7738251600058
1082,Jorge Masvidal,-0.36320008089066463,1716.0697215398309
1086,Ovince Saint Preux,-0.26310428385537443,1747.5076472132307
1090,Kurt Holobaugh,0.31482246997362684,1929.0219452125739
1104,Anthony Smith,0.029351008412415374,1839.3615313265236
1111,Jessica Andrade,0.8155849293905579,2086.3006067095002
1113,Germaine de Randamie,-0.297142665752922,1736.8169274044797
1117,Amanda Nunes,0.3449516162491053,1938.4848586341789
1122,Zak Cummings,-0.3880176433878392,1708.2750617410177
1141,Andre Fili,-0.17258098805984595,1775.9390572146683
1146,Santiago Ponzinibbio,-0.24890630557092544,1751.966925217298
1152,Julianna Pena,0.4978824612918409,1986.5171305379502
1155,Davey Grant,0.042104998446694034,1843.3672838417424
1158,Raquel Pennington,-0.12924095977099526,1789.5512230436448
1163,Drew Dober,-0.06480762874483831,1809.7883392032345
1191,Beneil Dariush,-0.26832245525983844,1745.8687323973893
1195,Kevin Lee,-0.19188688636091092,1769.875491971933
1203,Douglas Silva de Andrade,-0.33535829058941136,1724.81422590495
1205,Pedro Munhoz,0.06882356023839942,1851.7590064173828
1206,Aljamain Sterling,-0.15500093546086416,1781.4605716369613
1207,Cody Gibson,-0.23336172353897933,1756.8491423434787
1222,Sean Strickland,-0.14147751869558378,1785.7079844525801
1245,Derrick Lewis,-0.14908778979877174,1783.3177628410565
1250,Aaron Phillips,-0.09045384436287664,1801.7334173755016
1251,Li Jingliang,-0.0005289820003995457,1829.976872374372
1260,Warlley Alves,0.07818740515754069,1854.6999876504053
1265,Marcos Rogerio de Lima,0.05557682803313617,1847.5984942398568
1276,Jake Matthews,-0.23160388426247594,1757.4012416539124
1280,Dan Hooker,-0.0018193126424668974,1829.5716074179911
1284,Diego Ferreira,0.08346647277349493,1856.3580286496363
1288,Rob Font,0.23046963568494677,1902.5285437586328
1310,Brian Ortega,0.2375737782432759,1904.7598013372428
1313,Gilbert Burns,-0.13616369917702098,1787.3769402730484
1328,Colby Covington,-0.2799341971483419,1742.221735328164
1337,Damon Jackson,0.10202066634419503,1862.1854996892034
1347,Jan Blachowicz,-0.2856804049502666,1740.4169756965769
1355,Christos Giagos,-0.3395068293289425,1723.5112595825917
1357,Leon Edwards,-0.3338891510936294,1725.275650856249
1365,Yair Rodriguez,-0.33431151818048677,1725.1429944862834
1369,Gabriel Benitez,0.21334164160558955,1897.1490111433782
1374,Marlon Vera,0.13730318545708176,1873.26697609775
1378,Dooho Choi,0.2679949719915481,1914.3144405556816
1380,Ashlee Evans-Smith,0.3412439605628596,1937.3203641465066
1381,Carla Esparza,-0.4081656490025938,1701.9470087982895
1382,Rose Namajunas,-0.20487305024992986,1765.7968186687808
1383,Jessica Penne,-0.06728393175365828,1809.0105859684145
1389,Joanne Wood,0.463523932569983,1975.725859533591
1391,Tecia Pennington,-0.10245972921848186,1797.962628522091
1395,Angela Hill,-0.08448989077314155,1803.6065662511494
1398,Bryan Barberena,0.05383911474957556,1847.0527160686615
1399,Henry Cejudo,-0.18517699827207873,1771.9829227458658
1402,Renato Moicano,-0.018968234344925373,1824.1855018887973
1403,Jake Collier,-0.09548917037906107,1800.1519303428113
1404,Cody Garbrandt,-0.2956589699376967,1737.2829241809932
1405,Jared Cannonier,-0.10321795687262092,1797.7244856095977
1415,Holly Holm,-0.07601399402368124,1806.268662162439
1424,Maryna Moroz,-0.07022616800475466,1808.0864931761573
1432,Taylor Lapilus,-0.4879928574911962,1676.8750085594095
1438,Islam Makhachev,0.06588945326744677,1850.8374668562553
1441,Nicolas Dalby,-0.2677633854374777,1746.044324140921
1442,Elizeu Zaleski dos Santos,-0.31081577040467867,1732.5225008601265
1447,Arnold Allen,-0.3967423893343752,1705.5348076773053
1455,Kamaru Usman,0.029916050251760667,1839.5389987514689
1458,Vicente Luque,0.4611678903933039,1974.9858776259819
1459,Michelle Waterson-Gomez,-0.17107245493618883,1776.4128548527517
1479,Joaquim Silva,-0.08944380301635348,1802.0506495242987
1485,Matheus Nicolau,-0.38507747964127803,1709.19850360441
1497,Danny Roberts,-0.21886456972549978,1761.402384912728
1502,Julian Erosa,0.2259546753600869,1901.110492338739
1507,Karolina Kowalkiewicz,0.4497012770241079,1971.3844622868412
1508,Valentina Shevchenko,-0.02527488716708836,1822.2047185937586
1511,Alex Morono,-0.0346430320380336,1819.262386838844
1518,Randy Brown,-0.1275678893415429,1790.0766982920106
1522,Mickey Gall,0.0632713103181625,1850.0151647628625
1532,Curtis Blaydes,0.2785780517475038,1917.6383570898204
1533,Marcin Tybura,-0.29151930452075814,1738.5831035845756
1535,Damir Hadzovic,-0.021613639903645697,1823.3546371992265
1543,Josh Emmett,-0.16578154412934393,1778.0746155421793
