id,fighter_id,strikingVolume,strikingSuccess,strikingDefense,knockdownsPerMin,grappingSuccess,grapplingDefense,finishingAbility,controlDominance,weightclass
0,229,-0.20469285349139935,-0.884789724971176,-0.39950765156456564,0.09042153441116474,-0.21076255107739156,-0.8711322042065993,-0.18215776945798084,-0.2930413986100562,Heavyweight
1,268,0.37795522329090897,0.011134608488802553,0.06057070039000927,0.4761599643788127,0.10293443260061085,-0.532620216794352,0.03868816075811544,-0.0578226591891002,Welterweight
2,408,-0.3822378485513481,-0.025377959670843903,-0.254113891829018,-0.37274859859132237,1.2157042748023892,-0.8810627677038568,-0.0009500051995294679,-0.13336634976345707,Middleweight
3,457,-0.45052687598624463,-1.0551148569137911,-1.0230784503957564,-0.12663629221919806,0.6334257554607751,-0.9442370103969947,-0.35539020323907633,0.15056196467229693,Lightweight
4,581,-0.24691771903750392,1.1613498184011233,-0.8667943812889057,1.393831627055871,0.32857494872391907,-0.1473415878895501,0.7831399484353031,-0.3540647970662094,Welterweight
5,596,0.13164714450974155,1.1471128030285007,-0.8173110690545908,-0.26723688106942717,-0.037772567957143295,-0.8919207071906103,0.6299494916114116,0.2779099387998043,Light Heavyweight
6,607,-0.3150451310483617,-0.29785439938658326,-0.7082181829228152,-0.1200014929321457,1.3120207530136,0.24173309108171634,0.7311570114879365,-0.03727691824783062,Lightweight
7,612,-0.28369388653614813,-0.33019170272301307,-0.6091213509997295,-0.1424643222572156,0.32419870345943175,-0.24823611566643747,-0.0718517870248752,-0.141049170390202,Lightweight
8,723,-0.24166271078553472,-0.3542102779985691,-0.7258915329849494,-0.13561832205872712,0.48855231021439227,-0.6674887518137078,-0.11204688817401479,-0.06414552462754376,Lightweight
9,735,0.31487879332202956,-1.2077883066507589,-0.2077687424334139,-0.32390365333154003,-0.334763975072249,-0.9724794319203145,-0.7857968033667415,-0.10995578587359647,Middleweight
10,740,-0.24099716865906956,-0.6374942411710998,-0.6051087009700321,-0.28759287186221905,-0.41413192440662694,-1.3842662076701242,-0.969292767961494,-0.13899972879827152,Middleweight
11,750,-0.5314060474770453,0.7352220625722156,-0.6904242289312991,-0.06970217376583104,0.8777330504416719,-0.1243687125638371,1.5052148286501916,-0.10896297500378255,Lightweight
12,773,0.4333463585899574,0.05136003034372257,-0.17227784579176347,-0.025350921691698173,-0.3225134877823313,-0.26416192463677146,0.1612797996401346,-0.07336982189500445,Lightweight
13,777,0.05820539734949767,-0.4946764910476355,-0.17206303853726887,-0.1156266879007888,-0.578412071328525,-0.7744560274484638,-0.304983373689885,-0.1664516217464869,Lightweight
14,791,0.594877804292325,-0.6699887022399335,0.22448550639952577,-0.0622844674431539,-1.2802561086088242,-1.6366770977164948,-0.5381149603548949,-0.038031788962426726,Lightweight
15,792,1.097786939573064,0.2814511321305803,0.17086378101528416,1.1193259769067407,-0.030132038210134875,-0.2793332759172768,0.8432059233140337,-0.2910845806075594,Featherweight
16,796,-1.2951681616858064,0.12401064594557597,-1.2916138245654216,0.21226556384814033,1.3942485050230395,-0.07398726334677556,0.23051346407502,0.07501081301397694,Featherweight
17,812,-0.06565584027803192,0.08411274856341928,-0.9832512682478484,-0.1905843920394676,-0.3180668620951689,-0.047805127202121496,0.013043387325932604,-0.16984053049547992,Middleweight
18,827,-0.33866525665791736,-0.7643445249700044,0.5263260471029096,-0.5230461770316374,-0.00320488634721734,0.1664837250581544,0.908851543946785,-0.1487261340676884,Featherweight
19,829,0.12145101372912931,0.04569834151695765,-0.3784849610229766,-0.033696508097857965,-0.30010043228206246,-0.5077780659595896,-0.31215699982239187,-0.31644260738408825,Featherweight
20,832,0.2373230622938083,-0.1099273147362231,-0.2602016021259252,-0.042499860995861755,-0.17619496740838886,-1.6488364815280787,-0.3861575176265845,-0.03763512726056732,Featherweight
21,838,0.5922940228064935,0.11578172572942261,-0.12332393763035761,-0.496036640589209,-0.023891288838703173,-0.15930001034426994,0.6108131457322503,-0.06019739495596822,Welterweight
22,881,0.3248150497588782,0.14918587576182124,-0.08072926348772774,0.15436197876185245,-0.056937707053155505,-0.6093591344753241,0.6415090129258463,0.004190282416027423,Heavyweight
23,886,0.7677124852549038,-0.7753804207088015,0.3312166634372102,0.0767318149117287,-0.876467887569364,-0.21231218825658055,-0.04759464695106903,-0.15376528755486524,Middleweight
24,893,1.1474633557625133,0.47024896181184256,0.2933278624889445,1.0670826085777063,-0.6267788435343971,-0.7384465734130282,0.013445278516055382,-0.37274271736097125,Featherweight
25,924,-1.044029946292584,0.029442132613871703,-0.20602749631648018,-0.4603328803096146,-0.0023167149810419656,0.10196711841292934,0.3274189040567006,-0.31352187738595333,Featherweight
26,929,2.005642192858224,0.03505746768703334,0.494510870035467,-0.23904718406195816,-1.1803550591145866,-1.0543689853053344,0.6375163119980789,-0.46060637204932886,Featherweight
27,932,-0.5303865900384795,-0.48065315431079264,-0.5915971908763584,-0.08269774984232096,-0.9647083031936811,-0.3411939097871189,-0.10311217975182517,-0.4229156853631178,Welterweight
28,936,0.3286647625850419,-0.10110175337240442,-0.0841807671318839,-0.04479918406002452,-0.42165223653844763,0.41494714537663324,0.005858741863461148,-0.14876445140753636,Lightweight
29,956,-0.48901894845852156,-0.38471980243198656,-0.4525344997147394,-0.36157729411348294,0.4686230282674529,0.1352570659875004,-0.5394965309375164,-0.2814670665861467,Flyweight
30,962,-1.2312699473957447,-0.3173111433217736,-1.7121570078672281,-0.17519441710288455,0.2961043491273585,0.3649075296914352,0.6275429729701545,-0.14081292426019568,Lightweight
