event_id,winner,loser,weight_class,title_fight,true_method,round_end,time,outcome,fight_url
9,Dan Severn,Ken Shamrock,Open Weight,Yes,S-DEC,3,3:00,win,http://www.ufcstats.com/fight-details/6a060498e60756af
9,Don Frye,Amaury Bitetti,Open Weight,No,KO/TKO,1,9:30,win,http://www.ufcstats.com/fight-details/db845f2e28c22b4c
9,Mark Hall,Koji Kitao,Open Weight,No,KO/TKO,1,0:47,win,http://www.ufcstats.com/fight-details/378ede9e541c82f9
9,Mark Schultz,Gary Goodridge,Open Weight,No,KO/TKO,1,12:00,win,http://www.ufcstats.com/fight-details/ca62a52ab0bd9108
9,Rafael Carino,Matt Andersen,Open Weight,No,KO/TKO,1,5:32,win,http://www.ufcstats.com/fight-details/c89017008da245be
9,Cal Worsham,Zane Frazier,Open Weight,No,KO/TKO,1,3:14,win,http://www.ufcstats.com/fight-details/31fc4d5d5d1a6126
9,Steve Nelmark,Tai Bowden,Open Weight,No,KO/TKO,1,7:25,win,http://www.ufcstats.com/fight-details/e92abaf81ad5949b
10,Mark Coleman,Don Frye,Open Weight,Yes,KO/TKO,1,11:34,win,http://www.ufcstats.com/fight-details/6397fba14ce7f674
10,Mark Coleman,Gary Goodridge,Open Weight,No,SUB,1,7:00,win,http://www.ufcstats.com/fight-details/b71cb011942f3176
10,Don Frye,Brian Johnston,Open Weight,No,KO/TKO,1,4:37,win,http://www.ufcstats.com/fight-details/ced000124f98f276
10,Gary Goodridge,John Campetella,Open Weight,No,KO/TKO,1,1:28,win,http://www.ufcstats.com/fight-details/bde5589889ded1c9
10,Mark Coleman,Moti Horenstein,Open Weight,No,KO/TKO,1,2:43,win,http://www.ufcstats.com/fight-details/ba65a2f56dc6a5ed
10,Brian Johnston,Scott Fiedler,Open Weight,No,KO/TKO,1,2:25,win,http://www.ufcstats.com/fight-details/e4acc3bb3c3e27d1
10,Don Frye,Mark Hall,Open Weight,No,KO/TKO,1,10:21,win,http://www.ufcstats.com/fight-details/de2ced807ed3eb0b
10,Sam Adkins,Felix Lee Mitchell,Open Weight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/f59b1215176636f6
10,Geza Kalman,Dieusel Berto,Open Weight,No,KO/TKO,1,5:57,win,http://www.ufcstats.com/fight-details/dc6a8ec4d6c477de
11,Scott Ferrozzo,David Abbott,Open Weight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/9f6a7aee1fce539a
11,Mark Coleman,Brian Johnston,Open Weight,No,KO/TKO,1,2:20,win,http://www.ufcstats.com/fight-details/b633d9d9626239ec
11,Jerry Bohlander,Fabio Gurgel,Open Weight,No,U-DEC,1,15:00,win,http://www.ufcstats.com/fight-details/a5200c9bac3c420b
11,David Abbott,Sam Adkins,Open Weight,No,SUB,1,2:06,win,http://www.ufcstats.com/fight-details/398ff6015a5ba3b5
11,Brian Johnston,Reza Nasri,Open Weight,No,KO/TKO,1,0:28,win,http://www.ufcstats.com/fight-details/7149494344c04258
11,Mark Coleman,Julian Sanchez,Open Weight,No,SUB,1,0:45,win,http://www.ufcstats.com/fight-details/b03b58b04dafa93a
11,Roberto Traven,Dave Berry,Open Weight,No,KO/TKO,1,1:33,win,http://www.ufcstats.com/fight-details/3badedeb2c5533f4
11,Scott Ferrozzo,Sam Fulton,Open Weight,No,SUB,1,1:45,win,http://www.ufcstats.com/fight-details/c413b0abc04358c3
12,Don Frye,David Abbott,Open Weight,Yes,SUB,1,1:22,win,http://www.ufcstats.com/fight-details/d595d2c36ddba8ee
12,David Abbott,Steve Nelmark,Open Weight,No,KO/TKO,1,1:03,win,http://www.ufcstats.com/fight-details/c8ff8a72f3c5a825
12,Don Frye,Mark Hall,Open Weight,No,SUB,1,0:20,win,http://www.ufcstats.com/fight-details/f716e27b04a6fbb5
12,Ken Shamrock,Brian Johnston,Open Weight,No,SUB,1,5:48,win,http://www.ufcstats.com/fight-details/fa48320affd3b2b4
12,Kimo Leopoldo,Paul Varelans,Open Weight,No,KO/TKO,1,9:08,win,http://www.ufcstats.com/fight-details/14e48e29fefe1b3d
12,David Abbott,Cal Worsham,Open Weight,No,KO/TKO,1,2:51,win,http://www.ufcstats.com/fight-details/f84070b049bc14e6
12,Don Frye,Gary Goodridge,Open Weight,No,SUB,1,11:19,win,http://www.ufcstats.com/fight-details/9713ba5e92ee4f5d
12,Tai Bowden,Jack Nilson,Open Weight,No,KO/TKO,1,4:46,win,http://www.ufcstats.com/fight-details/2f449bd58b3d9a99
12,Steve Nelmark,Marcus Bossett,Open Weight,No,SUB,1,1:37,win,http://www.ufcstats.com/fight-details/d93c8c77e1091a16
12,Mark Hall,Felix Lee Mitchell,Open Weight,No,KO/TKO,1,1:45,win,http://www.ufcstats.com/fight-details/a5c90086fb65f58e
13,Mark Coleman,Dan Severn,Heavyweight,Yes,SUB,1,2:57,win,http://www.ufcstats.com/fight-details/3e813ba25895913d
13,Vitor Belfort,Scott Ferrozzo,Heavyweight,No,KO/TKO,1,0:43,win,http://www.ufcstats.com/fight-details/fa347a9ac9d0558c
13,Jerry Bohlander,Nick Sanzo,Lightweight,No,SUB,1,0:39,win,http://www.ufcstats.com/fight-details/2963e9a4b8c10bc9
13,Vitor Belfort,Tra Telligman,Heavyweight,No,KO/TKO,1,1:17,win,http://www.ufcstats.com/fight-details/b28809d58f8c18fd
13,Scott Ferrozzo,Jim Mullen,Heavyweight,No,KO/TKO,1,8:02,win,http://www.ufcstats.com/fight-details/72e7d6d5328bc3d6
13,Yoshiki Takahashi,Wallid Ismail,Lightweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/e45feb9866eb2da7
13,Jerry Bohlander,Rainy Martinez,Lightweight,No,SUB,1,1:24,win,http://www.ufcstats.com/fight-details/18af785da73b5996
13,Justin Martin,Eric Martin,Heavyweight,No,SUB,1,0:14,win,http://www.ufcstats.com/fight-details/77bf1e37929b0d59
13,Nick Sanzo,Jackie Lee,Lightweight,No,KO/TKO,1,0:48,win,http://www.ufcstats.com/fight-details/565ecefd8a37ad7e
14,Vitor Belfort,David Abbott,Heavyweight,No,KO/TKO,1,0:52,win,http://www.ufcstats.com/fight-details/0e16795e385e76a7
14,Randy Couture,Steven Graham,Heavyweight,Yes,KO/TKO,1,3:13,win,http://www.ufcstats.com/fight-details/4165dd0c39926e2f
14,Guy Mezger,Tito Ortiz,Lightweight,Yes,SUB,1,2:00,win,http://www.ufcstats.com/fight-details/86f566f142593667
14,Randy Couture,Tony Halme,Heavyweight,No,SUB,1,0:56,win,http://www.ufcstats.com/fight-details/75d16f9eae9c6ea6
14,Steven Graham,Dmitri Stepanov,Heavyweight,No,SUB,1,1:30,win,http://www.ufcstats.com/fight-details/e3255c742fff811c
14,Enson Inoue,Royce Alger,Lightweight,No,SUB,1,1:36,win,http://www.ufcstats.com/fight-details/90557b479ce1c2a7
14,Guy Mezger,Christophe Leninger,Lightweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/45e49fe8d3d1bfb5
14,Jack Nilson,Saeed Hosseini,Lightweight,No,KO/TKO,1,1:23,win,http://www.ufcstats.com/fight-details/0473ef44197be419
14,Tito Ortiz,Wes Albritton,Lightweight,No,KO/TKO,1,0:31,win,http://www.ufcstats.com/fight-details/f3c33d0b7a087eaf
15,Maurice Smith,Mark Coleman,Heavyweight,Yes,U-DEC,3,3:00,win,http://www.ufcstats.com/fight-details/1a5171802bf3bce6
15,Mark Kerr,Dan Bobish,Heavyweight,Yes,SUB,1,1:38,win,http://www.ufcstats.com/fight-details/1f561a3e35a9b48a
15,Kevin Jackson,Tony Fryklund,Lightweight,Yes,SUB,1,0:44,win,http://www.ufcstats.com/fight-details/c92596c3143db25b
15,Dan Bobish,Brian Johnston,Heavyweight,No,SUB,1,2:10,win,http://www.ufcstats.com/fight-details/3f6c0a76407e1863
15,Mark Kerr,Moti Horenstein,Heavyweight,No,KO/TKO,1,2:22,win,http://www.ufcstats.com/fight-details/f44aa569b4eec404
15,Kevin Jackson,Todd Butler,Lightweight,No,KO/TKO,1,1:27,win,http://www.ufcstats.com/fight-details/e0a11799d3446b87
15,Joe Moreira,Yuri Vaulin,Lightweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/6158150558be0edf
15,Alex Hunter,Sam Fulton,Heavyweight,No,SUB,1,2:30,win,http://www.ufcstats.com/fight-details/f373e50e2fab3d5f
15,Tony Fryklund,Donnie Chappell,Lightweight,No,SUB,1,1:31,win,http://www.ufcstats.com/fight-details/1586c14f26880553
16,Maurice Smith,David Abbott,Heavyweight,Yes,SUB,1,8:08,win,http://www.ufcstats.com/fight-details/b3cafb4e6e1b2ad0
16,Mark Kerr,Dwayne Cason,Heavyweight,Yes,SUB,1,0:53,win,http://www.ufcstats.com/fight-details/1c1f8f281b2065e0
16,Randy Couture,Vitor Belfort,Heavyweight,No,KO/TKO,1,8:16,win,http://www.ufcstats.com/fight-details/b5e49b35bc25c5a9
16,Dave Beneteau,Carlos Barreto,Heavyweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/3bd789bcfb12368d
16,Mark Kerr,Greg Stott,Heavyweight,No,KO/TKO,1,0:17,win,http://www.ufcstats.com/fight-details/6603f1d60bfeefa9
16,Dwayne Cason,Houston Dorr,Heavyweight,No,KO/TKO,1,3:43,win,http://www.ufcstats.com/fight-details/da77ead135cb4f17
16,Alex Hunter,Harry Moskowitz,Heavyweight,No,S-DEC,1,12:00,win,http://www.ufcstats.com/fight-details/c99e302777049f2d
17,Randy Couture,Maurice Smith,Heavyweight,Yes,M-DEC,3,3:00,win,http://www.ufcstats.com/fight-details/748657d9ba9d7c71
17,Kazushi Sakuraba,Marcus Silveira,Heavyweight,Yes,SUB,1,3:44,win,http://www.ufcstats.com/fight-details/ec1bda9a4c2aab42
17,Vitor Belfort,Joe Charles,Heavyweight,No,SUB,1,4:03,win,http://www.ufcstats.com/fight-details/5c3542260741c6bc
17,Frank Shamrock,Kevin Jackson,Lightweight,Yes,SUB,1,0:16,win,http://www.ufcstats.com/fight-details/e0c636beed345e1d
17,Kazushi Sakuraba,Marcus Silveira,Heavyweight,No,Overturned,1,1:51,win,http://www.ufcstats.com/fight-details/2750ac5854e8b28b
17,David Abbott,Yoji Anjo,Heavyweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/764e492b55c0ec40
17,Tra Telligman,Brad Kohler,Heavyweight,No,SUB,1,10:05,win,http://www.ufcstats.com/fight-details/0e0629a1503125a6
18,Frank Shamrock,Igor Zinoviev,Middleweight,Yes,KO/TKO,1,0:22,win,http://www.ufcstats.com/fight-details/f32f823658478705
18,Tsuyoshi Kohsaka,Kimo Leopoldo,Heavyweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/b55481006297ba05
18,Pat Miletich,Chris Brennan,Lightweight,No,SUB,1,9:02,win,http://www.ufcstats.com/fight-details/16f25f0808db6f77
18,Jerry Bohlander,Kevin Jackson,Middleweight,No,SUB,1,10:23,win,http://www.ufcstats.com/fight-details/db936df21e61209e
18,Pat Miletich,Townsend Saunders,Lightweight,No,S-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/43885ee6cc5ed241
18,Mikey Burnett,Eugenio Tadeu,Lightweight,No,KO/TKO,1,9:45,win,http://www.ufcstats.com/fight-details/a3a328ca117184df
18,Chris Brennan,Courtney Turner,Lightweight,No,SUB,1,1:20,win,http://www.ufcstats.com/fight-details/4bce0ce561a65288
18,Laverne Clark,Josh Stuart,Lightweight,No,KO/TKO,1,1:15,win,http://www.ufcstats.com/fight-details/b80872821bc4f6ba
19,Frank Shamrock,Jeremy Horn,Middleweight,Yes,SUB,2,1:28,win,http://www.ufcstats.com/fight-details/1d3c1dedfba6eddc
19,Pete Williams,Mark Coleman,Heavyweight,No,KO/TKO,2,0:38,win,http://www.ufcstats.com/fight-details/a4d8e991ec42b048
19,Dan Henderson,Carlos Newton,Middleweight,Yes,S-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/17526cb9fb6072ef
19,David Abbott,Hugo Duarte,Heavyweight,No,KO/TKO,1,0:43,win,http://www.ufcstats.com/fight-details/1e14e79a477f2357
19,Mike van Arsdale,Joe Pardo,Heavyweight,No,SUB,1,11:01,win,http://www.ufcstats.com/fight-details/74dcccd3d2f487a1
19,Carlos Newton,Bob Gilstrap,Middleweight,No,SUB,1,0:52,win,http://www.ufcstats.com/fight-details/8d83354075a937f2
19,Dan Henderson,Allan Goes,Middleweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/21aa163b80e504f9
19,Andre Roberts,Harry Moskowitz,Heavyweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/8b258bbb37f74a66
19,Chuck Liddell,Noe Hernandez,Middleweight,No,U-DEC,1,12:00,win,http://www.ufcstats.com/fight-details/ea535b46e0f69ad3
20,Frank Shamrock,John Lober,Middleweight,Yes,SUB,1,7:40,win,http://www.ufcstats.com/fight-details/c8a04210d832a928
20,Vitor Belfort,Wanderlei Silva,Middleweight,No,KO/TKO,1,0:44,win,http://www.ufcstats.com/fight-details/3261bd16c10e3014
20,Pedro Rizzo,David Abbott,Heavyweight,No,KO/TKO,1,8:07,win,http://www.ufcstats.com/fight-details/f85bbc760000f001
20,Pat Miletich,Mikey Burnett,Lightweight,Yes,S-DEC,3,3:00,win,http://www.ufcstats.com/fight-details/07423d10cc23bfeb
20,Tsuyoshi Kohsaka,Pete Williams,Heavyweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/dbdad3eb157703bc
20,Ebenezer Fontes Braga,Jeremy Horn,Middleweight,No,SUB,1,3:27,win,http://www.ufcstats.com/fight-details/b6de61e312dbb1db
20,Tulio Palhares,Adriano Santos,Middleweight,No,KO/TKO,1,9:00,win,http://www.ufcstats.com/fight-details/35b871e0bdc1415b
20,Cesar Marscucci,Paulo Santos,Lightweight,No,KO/TKO,1,10:27,win,http://www.ufcstats.com/fight-details/635fbf57001897c7
21,Bas Rutten,Tsuyoshi Kohsaka,Heavyweight,No,KO/TKO,2,2:15,win,http://www.ufcstats.com/fight-details/3fc4d9f17be8d003
21,Pat Miletich,Jorge Patino,Lightweight,Yes,U-DEC,3,3:00,win,http://www.ufcstats.com/fight-details/453118d7f05be814
21,Pedro Rizzo,Mark Coleman,Heavyweight,No,S-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/86090172facd6cf7
21,Tito Ortiz,Jerry Bohlander,Middleweight,No,KO/TKO,2,2:31,win,http://www.ufcstats.com/fight-details/6c15d41df17349c9
21,Mikey Burnett,Townsend Saunders,Lightweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/48fccedc8889a473
21,Evan Tanner,Darrel Gholar,Middleweight,No,SUB,1,7:57,win,http://www.ufcstats.com/fight-details/fb8e8d1a734b6fe8
21,Laverne Clark,Frank Caracci,Lightweight,No,KO/TKO,1,6:52,win,http://www.ufcstats.com/fight-details/0cf7636471fc5e45
22,Tito Ortiz,Guy Mezger,Middleweight,No,KO/TKO,1,9:56,win,http://www.ufcstats.com/fight-details/c03d0d781df4ad2a
22,Gary Goodridge,Andre Roberts,Heavyweight,No,KO/TKO,1,0:43,win,http://www.ufcstats.com/fight-details/28f31c3fd7afe737
22,Jeremy Horn,Chuck Liddell,Middleweight,No,SUB,1,12:00,win,http://www.ufcstats.com/fight-details/b26c2f616c9436fb
22,Kevin Randleman,Maurice Smith,Heavyweight,No,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/997753de17f81e3a
22,Evan Tanner,Valeri Ignatov,Middleweight,No,KO/TKO,1,2:58,win,http://www.ufcstats.com/fight-details/25215e8c06d7d63f
22,Pete Williams,Jason Godsey,Heavyweight,No,SUB,1,1:56,win,http://www.ufcstats.com/fight-details/9a38c18f00bb8b8e
22,Sione Latu,Joey Roberts,Heavyweight,No,KO/TKO,1,10:01,win,http://www.ufcstats.com/fight-details/03afd7b6a217aaac
23,Bas Rutten,Kevin Randleman,Heavyweight,Yes,S-DEC,3,3:00,win,http://www.ufcstats.com/fight-details/73c07530f667289f
23,Pedro Rizzo,Tra Telligman,Heavyweight,No,KO/TKO,1,4:30,win,http://www.ufcstats.com/fight-details/99b5010fd25911af
23,Pete Williams,Travis Fulton,Heavyweight,No,SUB,1,6:28,win,http://www.ufcstats.com/fight-details/a3fe8217502c42a4
23,Wanderlei Silva,Tony Petarra,Middleweight,No,KO/TKO,1,2:53,win,http://www.ufcstats.com/fight-details/c892b23ad8f2208b
23,Marcelo Mello,David Roberts,Lightweight,No,KO/TKO,1,1:23,win,http://www.ufcstats.com/fight-details/6bb2a427004deecc
